Praise for	Praise for	Похвала за	Praise for
As a consultant to therapists and coaches, I have found that most of them are constantly seeking ways to deepen changes, learning, and healing outside of their sessions. The real work of therapy and coaching takes place in the client’s life, so offering homework enables the client to practice in the world what is learned. Most therapists and practitioners see their clients once a week for 60 minutes, and although deep work occurs in these sessions, clients benefit by remaining connected to the work and their parts between sessions. This book offers meditations, exercises, and homework assignments to complete in the in-between time to deepen session work. The book can also be used during a session for guided meditation, working through exercises together in support of the work and to educate clients about the model.	As a consultant to therapists and coaches, I have found that most of them are constantly seeking ways to deepen changes, learning, and healing outside of their sessions. The real work of therapy and coaching takes place in the client’s life, so offering homework enables the client to practice in the world what is learned. Most therapists and practitioners see their clients once a week for 60 minutes, and although deep work occurs in these sessions, clients benefit by remaining connected to the work and their parts between sessions. This book offers meditations, exercises, and homework assignments to complete in the in-between time to deepen session work. The book can also be used during a session for guided meditation, working through exercises together in support of the work and to educate clients about the model.	Как консультант терапевтов и тренеров, я обнаружил, что большинство из них постоянно ищут способы углубить изменения, обучение и исцеление вне своих сессий. Настоящая работа терапии и коучинга происходит в жизни клиента, поэтому предложение домашнего задания позволяет клиенту практиковать в мире то, чему он научился. Большинство терапевтов и практиков видят своих клиентов раз в неделю в течение 60 минут, и хотя на этих сеансах происходит глубокая работа, клиенты получают пользу, оставаясь на связи с работой и ее частями между сеансами. Эта книга предлагает медитации, упражнения и домашние задания, которые нужно выполнять в промежутках между сеансами, чтобы углубить сессионную работу. Книгу также можно использовать во время сеанса управляемой медитации, совместной работы над упражнениями в поддержку работы и для ознакомления клиентов с моделью.	As a consultant to therapists and coaches, I have found that most of them are constantly seeking ways to deepen changes, learning, and healing outside of their sessions. The real work of therapy and coaching takes place in the client’s life, so offering homework enables the client to practice in the world what is learned. Most therapists and practitioners see their clients once a week for 60 minutes, and although deep work occurs in these sessions, clients benefit by remaining connected to the work and their parts between sessions. This book offers meditations, exercises, and homework assignments to complete in the in-between time to deepen session work. The book can also be used during a session for guided meditation, working through exercises together in support of the work and to educate clients about the model.
For Therapists and Practitioners	For Therapists and Practitioners	Для терапевтов и практикующих врачей	For Therapists and Practitioners
One of the true gifts I’ve received as an IFS therapist is the healing of doing my own work. Being a healed healer (or at least working toward healing) is a gift we give not only to ourselves, but to our clients. The greater access we have to Self-energy, the more effective we are in our work with clients. This model asserts that Self is the healing agent of the system, ours, and our clients. If we truly believe and subscribe to this assumption, then getting to know our parts and offering healing to them makes sense. This book can help therapists and practitioners do their own personal work to become more healed healers.	One of the true gifts I’ve received as an IFS therapist is the healing of doing my own work. Being a healed healer (or at least working toward healing) is a gift we give not only to ourselves, but to our clients. The greater access we have to Self-energy, the more effective we are in our work with clients. This model asserts that Self is the healing agent of the system, ours, and our clients. If we truly believe and subscribe to this assumption, then getting to know our parts and offering healing to them makes sense. This book can help therapists and practitioners do their own personal work to become more healed healers.	Один из настоящих подарков, которые я получил как терапевт IFS, — это исцеление от выполнения собственной работы. Быть исцеленным целителем (или, по крайней мере, стремиться к исцелению) — это дар, который мы дарим не только себе, но и нашим клиентам. Чем больше у нас доступа к собственной энергии, тем эффективнее мы работаем с клиентами. Эта модель утверждает, что Самость является исцеляющим агентом системы, нашей и наших клиентов. Если мы действительно верим и подписываемся под этим предположением, тогда имеет смысл узнать наши части тела и предложить им исцеление. Эта книга может помочь терапевтам и практикующим врачам выполнять свою личную работу, чтобы стать более исцеляющимися целителями.	One of the true gifts I’ve received as an IFS therapist is the healing of doing my own work. Being a healed healer (or at least working toward healing) is a gift we give not only to ourselves, but to our clients. The greater access we have to Self-energy, the more effective we are in our work with clients. This model asserts that Self is the healing agent of the system, ours, and our clients. If we truly believe and subscribe to this assumption, then getting to know our parts and offering healing to them makes sense. This book can help therapists and practitioners do their own personal work to become more healed healers.
I invite you into the world of parts within this book and within yourself. As you read through each chapter, my hope for you is that you develop an intimate relationship with parts of yourself, either for the first time or in a deeper way. By the time you reach the end of this book, I wish you a new level of healing, wholeness, and appreciation for your parts, and ultimately for your Self.	I invite you into the world of parts within this book and within yourself. As you read through each chapter, my hope for you is that you develop an intimate relationship with parts of yourself, either for the first time or in a deeper way. By the time you reach the end of this book, I wish you a new level of healing, wholeness, and appreciation for your parts, and ultimately for your Self.	Я приглашаю вас в мир частей этой книги и внутри вас самих. Я надеюсь, что, читая каждую главу, вы разовьете близкие отношения с частями себя либо впервые, либо на более глубокой основе. К тому времени, как вы дойдете до конца этой книги, я желаю вам нового уровня исцеления, целостности и понимания своих частей и, в конечном итоге, своего Я.	I invite you into the world of parts within this book and within yourself. As you read through each chapter, my hope for you is that you develop an intimate relationship with parts of yourself, either for the first time or in a deeper way. By the time you reach the end of this book, I wish you a new level of healing, wholeness, and appreciation for your parts, and ultimately for your Self.
CHAPTER 2	CHAPTER 2	ГЛАВА 2	CHAPTER 2
Connecting Inside	Connecting Inside	Подключение внутри	Connecting Inside
Meeting Your Parts	Meeting Your Parts	Встреча ваших частей	Meeting Your Parts
Carefree is the name she had before she became a people pleaser. When Carefree had not a care in the world, she had an easygoing manner that drew children and adults alike into her orbit, and she was only a child herself. She heard adults use words like full of life, creative, talkative, engaging, a joy to be around when speaking of her. The words sounded nice to her, and she also knew words didn’t and couldn’t fully capture her essence. She had an awareness that she was more than the words people used to describe her. She felt light and at home in her body. The world she lived in was exciting, limitless, and full of possibilities. She awoke each day free of worry and fear. She possessed a knowing that she was the creator of her experience, and the options were infinite.	Carefree is the name she had before she became a people pleaser. When Carefree had not a care in the world, she had an easygoing manner that drew children and adults alike into her orbit, and she was only a child herself. She heard adults use words like full of life, creative, talkative, engaging, a joy to be around when speaking of her. The words sounded nice to her, and she also knew words didn’t and couldn’t fully capture her essence. She had an awareness that she was more than the words people used to describe her. She felt light and at home in her body. The world she lived in was exciting, limitless, and full of possibilities. She awoke each day free of worry and fear. She possessed a knowing that she was the creator of her experience, and the options were infinite.	Беззаботная — это имя, которое она носила до того, как стала нравиться людям. Когда Беззаботная не заботилась о мире, у нее были спокойные манеры, которые привлекали в свою орбиту как детей, так и взрослых, а она сама была всего лишь ребенком. Она слышала, как взрослые использовали такие слова, как «полная жизни», «творческая», «разговорчивая», «привлекательная», «радость быть рядом», когда говорили о ней. Слова звучали для нее приятно, но она также знала, что слова не отражали и не могли полностью передать ее суть. Она осознавала, что она нечто большее, чем те слова, которыми люди ее описывали. Она чувствовала себя легко и комфортно в своем теле. Мир, в котором она жила, был захватывающим, безграничным и полным возможностей. Каждый день она просыпалась без беспокойства и страха. Она знала, что является творцом своего опыта, и ее возможности были безграничны.	Carefree is the name she had before she became a people pleaser. When Carefree had not a care in the world, she had an easygoing manner that drew children and adults alike into her orbit, and she was only a child herself. She heard adults use words like full of life, creative, talkative, engaging, a joy to be around when speaking of her. The words sounded nice to her, and she also knew words didn’t and couldn’t fully capture her essence. She had an awareness that she was more than the words people used to describe her. She felt light and at home in her body. The world she lived in was exciting, limitless, and full of possibilities. She awoke each day free of worry and fear. She possessed a knowing that she was the creator of her experience, and the options were infinite.
The changes in Carefree didn’t happen at once. Life at home, school, and in her neighborhood chipped away at her. She came to learn that being herself was less valuable than being who people wanted her to be. At first, she made little shifts to accommodate the expectations of others. With each change, no matter how insignificant it seemed at the time, Carefree became less of herself. Worry and fear crept into her existence. The light and comfortable feeling in her body became heavy and foreign. Instead of experiencing life as limitless and full of possibilities, it became finite with right and wrong choices and outcomes. Safety and certainty were no longer found within her but were dependent on her meeting the needs and expectations of others. Her easygoing, fun-loving energy was met with disapproving frowns and statements like “You play too much” or “You need to take this seriously.” Once Carefree no longer heard herself described as full of life and a joy to be around, but as dependable, responsible, and the one you can count on, the transformation was complete. Ultimately, Carefree covered who she was to gain the approval of others and to be liked.	The changes in Carefree didn’t happen at once. Life at home, school, and in her neighborhood chipped away at her. She came to learn that being herself was less valuable than being who people wanted her to be. At first, she made little shifts to accommodate the expectations of others. With each change, no matter how insignificant it seemed at the time, Carefree became less of herself. Worry and fear crept into her existence. The light and comfortable feeling in her body became heavy and foreign. Instead of experiencing life as limitless and full of possibilities, it became finite with right and wrong choices and outcomes. Safety and certainty were no longer found within her but were dependent on her meeting the needs and expectations of others. Her easygoing, fun-loving energy was met with disapproving frowns and statements like “You play too much” or “You need to take this seriously.” Once Carefree no longer heard herself described as full of life and a joy to be around, but as dependable, responsible, and the one you can count on, the transformation was complete. Ultimately, Carefree covered who she was to gain the approval of others and to be liked.	Изменения в Carefree произошли не сразу. Жизнь дома, в школе и по соседству ее изматывала. Она поняла, что быть самой собой менее ценно, чем быть такой, какой ее хотят видеть люди. Поначалу она вносила небольшие изменения, чтобы оправдать ожидания других. С каждым изменением, каким бы незначительным оно ни казалось в то время, Беззаботная становилась все меньше самой себя. В ее существование вкрались беспокойство и страх. Ощущение легкости и комфорта в ее теле стало тяжелым и чуждым. Вместо того, чтобы воспринимать жизнь как безграничную и полную возможностей, она стала ограниченной с правильными и неправильными выборами и результатами. Безопасность и уверенность больше не находились внутри нее, а зависели от того, насколько она удовлетворяла потребности и ожидания других. Ее спокойная, веселая энергия встречалась неодобрительными хмурыми взглядами и заявлениями типа «Ты слишком много играешь» или «Тебе нужно отнестись к этому серьезно». Как только Беззаботная больше не слышала, чтобы ее описывали как полную жизни и радость быть рядом, а как надежную, ответственную и ту, на которую можно положиться, трансформация была полной. В конце концов, Беззаботная рассказала, кем она должна была заслужить одобрение других и понравиться.	The changes in Carefree didn’t happen at once. Life at home, school, and in her neighborhood chipped away at her. She came to learn that being herself was less valuable than being who people wanted her to be. At first, she made little shifts to accommodate the expectations of others. With each change, no matter how insignificant it seemed at the time, Carefree became less of herself. Worry and fear crept into her existence. The light and comfortable feeling in her body became heavy and foreign. Instead of experiencing life as limitless and full of possibilities, it became finite with right and wrong choices and outcomes. Safety and certainty were no longer found within her but were dependent on her meeting the needs and expectations of others. Her easygoing, fun-loving energy was met with disapproving frowns and statements like “You play too much” or “You need to take this seriously.” Once Carefree no longer heard herself described as full of life and a joy to be around, but as dependable, responsible, and the one you can count on, the transformation was complete. Ultimately, Carefree covered who she was to gain the approval of others and to be liked.
Carefree is one of my parts, and I have distinct memories of who she was and how she moved through the world before she became burdened by the expectations of others. Her innate qualities were not nurtured and viewed as valuable. Instead, she got the message that she needed to change, which made her feel not good enough and misunderstood. She started to change and take on qualities that pleased those around her. The more people liked and approved of her, the further removed she was from her original nature.	Carefree is one of my parts, and I have distinct memories of who she was and how she moved through the world before she became burdened by the expectations of others. Her innate qualities were not nurtured and viewed as valuable. Instead, she got the message that she needed to change, which made her feel not good enough and misunderstood. She started to change and take on qualities that pleased those around her. The more people liked and approved of her, the further removed she was from her original nature.	Беззаботность — одна из моих частей, и у меня есть отчетливые воспоминания о том, кем она была и как она двигалась по миру до того, как стала обременена ожиданиями других. Ее врожденные качества не лелеялись и не рассматривались как ценные. Вместо этого она получила сообщение о том, что ей нужно измениться, из-за чего она почувствовала себя недостаточно хорошей и непонятой. Она начала меняться и приобретать качества, которые нравились окружающим. Чем больше людей любили и одобряли ее, тем дальше она удалялась от своей первоначальной природы.	Carefree is one of my parts, and I have distinct memories of who she was and how she moved through the world before she became burdened by the expectations of others. Her innate qualities were not nurtured and viewed as valuable. Instead, she got the message that she needed to change, which made her feel not good enough and misunderstood. She started to change and take on qualities that pleased those around her. The more people liked and approved of her, the further removed she was from her original nature.
The burden of pleasing others while denying myself is one that I still struggle with. Although I people please a lot less, I still have the desire to be liked. When I am being myself, the part that wants people to like me wonders, am I doing enough, am I enough, will people like me if I show them who I really am? When I was a child and received praise for being likable, I didn’t know any other way to be. I wasn’t seeking approval. I was just being me. The freedom to truly be who I am, with no care about being liked or not, is what I seek.	The burden of pleasing others while denying myself is one that I still struggle with. Although I people please a lot less, I still have the desire to be liked. When I am being myself, the part that wants people to like me wonders, am I doing enough, am I enough, will people like me if I show them who I really am? When I was a child and received praise for being likable, I didn’t know any other way to be. I wasn’t seeking approval. I was just being me. The freedom to truly be who I am, with no care about being liked or not, is what I seek.	Бремя угождения другим, отказывая себе, — это то, с чем я до сих пор борюсь. Хотя я людям нравлюсь гораздо меньше, у меня все еще есть желание нравиться. Когда я остаюсь самим собой, та часть, которая хочет, чтобы я нравился людям, задается вопросом: достаточно ли я делаю, достаточно ли я, понравлюсь ли я людям, если я покажу им, кто я на самом деле? Когда я был ребенком и меня хвалили за то, что я симпатичный, я не знал другого способа быть собой. Я не искал одобрения. Я просто был собой. Свобода по-настоящему быть тем, кто я есть, не заботясь о том, нравится мне это или нет, — вот чего я ищу.	The burden of pleasing others while denying myself is one that I still struggle with. Although I people please a lot less, I still have the desire to be liked. When I am being myself, the part that wants people to like me wonders, am I doing enough, am I enough, will people like me if I show them who I really am? When I was a child and received praise for being likable, I didn’t know any other way to be. I wasn’t seeking approval. I was just being me. The freedom to truly be who I am, with no care about being liked or not, is what I seek.
Who is the “I” speaking in the paragraph you just read? Is it me, or is it Carefree? Is the me that is me separate from the me that is Carefree?	Who is the “I” speaking in the paragraph you just read? Is it me, or is it Carefree? Is the me that is me separate from the me that is Carefree?	Кто это «Я», говорящее в только что прочитанном абзаце? Это я или Беззаботный? Отделен ли я, который есть я, от меня, который Беззаботен?	Who is the “I” speaking in the paragraph you just read? Is it me, or is it Carefree? Is the me that is me separate from the me that is Carefree?
That paragraph is from Carefree’s perspective. This is her experience. And we are not separate. She is a part of me. I view my parts and the parts of the people I work with as individual humans with feelings, ideas, beliefs, life experiences. It is important to mention that our parts may or may not appear as we do. For instance, some of our parts share our gender, racial identities, and sexual orientation while other parts do not. You will see later in one of my opening vignettes that I have male-identified parts although I identify as female. Viewing parts as the subpersonalities they are helps me to better relate to my parts and the parts of others. However, when Carefree is in my seat of consciousness, my experience of the world is from her perspective. Carefree is the part of me that still carries some of the people-pleasing burden and desires to return to her unburdened state.	That paragraph is from Carefree’s perspective. This is her experience. And we are not separate. She is a part of me. I view my parts and the parts of the people I work with as individual humans with feelings, ideas, beliefs, life experiences. It is important to mention that our parts may or may not appear as we do. For instance, some of our parts share our gender, racial identities, and sexual orientation while other parts do not. You will see later in one of my opening vignettes that I have male-identified parts although I identify as female. Viewing parts as the subpersonalities they are helps me to better relate to my parts and the parts of others. However, when Carefree is in my seat of consciousness, my experience of the world is from her perspective. Carefree is the part of me that still carries some of the people-pleasing burden and desires to return to her unburdened state.	Этот абзац написан с точки зрения Carefree. Это ее опыт. И мы не разделены. Она часть меня. Я рассматриваю свои части и части людей, с которыми работаю, как отдельных людей с чувствами, идеями, убеждениями и жизненным опытом. Важно отметить, что наши части могут выглядеть, а могут и не выглядеть так, как мы. Например, некоторые наши части разделяют наш пол, расовую идентичность и сексуальную ориентацию, а другие нет. Позже в одном из моих вступительных эпизодов вы увидите, что у меня есть части, отождествляемые с мужчинами, хотя я идентифицирую себя как женщина. Рассмотрение частей как субличностей, которыми они являются, помогает мне лучше относиться к своим частям и частям других. Однако, когда Беззаботная находится в моем сознании, я воспринимаю мир с ее точки зрения. Беззаботность — это та часть меня, которая все еще несет в себе часть бремени, приятного людям, и желает вернуться в свое необремененное состояние.	That paragraph is from Carefree’s perspective. This is her experience. And we are not separate. She is a part of me. I view my parts and the parts of the people I work with as individual humans with feelings, ideas, beliefs, life experiences. It is important to mention that our parts may or may not appear as we do. For instance, some of our parts share our gender, racial identities, and sexual orientation while other parts do not. You will see later in one of my opening vignettes that I have male-identified parts although I identify as female. Viewing parts as the subpersonalities they are helps me to better relate to my parts and the parts of others. However, when Carefree is in my seat of consciousness, my experience of the world is from her perspective. Carefree is the part of me that still carries some of the people-pleasing burden and desires to return to her unburdened state.
IFS CONCEPT 1: PROTECTIVE NATURE OF PARTS	IFS CONCEPT 1: PROTECTIVE NATURE OF PARTS	КОНЦЕПЦИЯ IFS 1: ЗАЩИТА ДЕТАЛЕЙ	IFS CONCEPT 1: PROTECTIVE NATURE OF PARTS
When we are born, our parts are in their natural state. In most cases, they are not burdened. They can express the full nature of who they are: playful, curious, calm, free, loving, to name a few. However, as children, when our needs for attention, affection, acceptance, and nurturance go unmet, are made fun of, or are denied, our natural ways of being become exiled. We learn that it isn’t safe to be fully who we are. We learn that parts of us are unlovable, not good enough, shameful, and should be hidden. Parts take on roles to protect us from feeling these strong feelings of worthlessness. They do this in one of two ways: They keep us from experiencing the strong feelings by controlling everything they can, keeping us too busy, focused on other things, or distracted to feel our unmet needs. Or, when something in our life triggers our feelings of not-good-enough or shame, parts swoop in to douse the severity of these feelings with intense distractions to take the attention off the emotional pain.	When we are born, our parts are in their natural state. In most cases, they are not burdened. They can express the full nature of who they are: playful, curious, calm, free, loving, to name a few. However, as children, when our needs for attention, affection, acceptance, and nurturance go unmet, are made fun of, or are denied, our natural ways of being become exiled. We learn that it isn’t safe to be fully who we are. We learn that parts of us are unlovable, not good enough, shameful, and should be hidden. Parts take on roles to protect us from feeling these strong feelings of worthlessness. They do this in one of two ways: They keep us from experiencing the strong feelings by controlling everything they can, keeping us too busy, focused on other things, or distracted to feel our unmet needs. Or, when something in our life triggers our feelings of not-good-enough or shame, parts swoop in to douse the severity of these feelings with intense distractions to take the attention off the emotional pain.	Когда мы рождаемся, наши части тела находятся в своем естественном состоянии. В большинстве случаев они не обременены. Они могут полностью выразить свою природу: игривые, любопытные, спокойные, свободные, любящие и это лишь некоторые из них. Однако в детстве, когда наши потребности во внимании, привязанности, принятии и заботе остаются неудовлетворенными, нас высмеивают или отрицают, наши естественные способы существования становятся изгнанниками. Мы узнаем, что небезопасно быть полностью теми, кто мы есть. Мы узнаем, что некоторые части нас непривлекательны, недостаточно хороши, постыдны и должны быть скрыты. Части берут на себя роль защиты нас от ощущения сильной никчемности. Они делают это одним из двух способов: они удерживают нас от переживания сильных чувств, контролируя все, что могут, заставляя нас быть слишком занятыми, сосредоточенными на других вещах или отвлекаться на удовлетворение наших неудовлетворенных потребностей. Или, когда что-то в нашей жизни вызывает у нас чувство недостаточности или стыда, части тела набрасываются на то, чтобы заглушить остроту этих чувств интенсивными отвлекающими факторами, чтобы отвлечь внимание от эмоциональной боли.	When we are born, our parts are in their natural state. In most cases, they are not burdened. They can express the full nature of who they are: playful, curious, calm, free, loving, to name a few. However, as children, when our needs for attention, affection, acceptance, and nurturance go unmet, are made fun of, or are denied, our natural ways of being become exiled. We learn that it isn’t safe to be fully who we are. We learn that parts of us are unlovable, not good enough, shameful, and should be hidden. Parts take on roles to protect us from feeling these strong feelings of worthlessness. They do this in one of two ways: They keep us from experiencing the strong feelings by controlling everything they can, keeping us too busy, focused on other things, or distracted to feel our unmet needs. Or, when something in our life triggers our feelings of not-good-enough or shame, parts swoop in to douse the severity of these feelings with intense distractions to take the attention off the emotional pain.
We call both these types of parts “protectors.” Some protectors protect in a proactive way to keep us feeling secure and from feeling pain and vulnerability. These are called managers because their role is to manage our lives so as to protect us from pain. These parts make a vow to work relentlessly so we never experience the hurt we felt before they took on the job of protecting us. Carefree exiled her innate nature when she believed it was no longer valued. She searched around her to find what was of value and discovered that those closest to Carefree—her parents, teachers, and relatives—liked her most when she fit their ideal of her. By pleasing others, Carefree did not have to feel the pain of not being good enough. Her true self felt not enough to receive the love and attention from those most important to her. To ensure she didn’t have to feel that pain, she became what others needed and expected, and in return she received love and approval. Carefree decided that if she couldn’t be accepted and loved for who she was, she would contort herself into someone others couldn’t help but love, accept, and approve of.	We call both these types of parts “protectors.” Some protectors protect in a proactive way to keep us feeling secure and from feeling pain and vulnerability. These are called managers because their role is to manage our lives so as to protect us from pain. These parts make a vow to work relentlessly so we never experience the hurt we felt before they took on the job of protecting us. Carefree exiled her innate nature when she believed it was no longer valued. She searched around her to find what was of value and discovered that those closest to Carefree—her parents, teachers, and relatives—liked her most when she fit their ideal of her. By pleasing others, Carefree did not have to feel the pain of not being good enough. Her true self felt not enough to receive the love and attention from those most important to her. To ensure she didn’t have to feel that pain, she became what others needed and expected, and in return she received love and approval. Carefree decided that if she couldn’t be accepted and loved for who she was, she would contort herself into someone others couldn’t help but love, accept, and approve of.	Мы называем оба этих типа частей «защитниками». Некоторые защитники активно защищают нас, чтобы мы чувствовали себя в безопасности и не чувствовали боли и уязвимости. Их называют менеджерами, потому что их роль — управлять нашей жизнью так, чтобы защитить нас от боли. Эти части дают клятву работать неустанно, чтобы мы никогда не испытывали той боли, которую чувствовали до того, как они взяли на себя работу по защите нас. Беззаботная изгнала свою врожденную натуру, когда поверила, что ее больше не ценят. Она искала вокруг себя, чтобы найти то, что имело ценность, и обнаружила, что самые близкие к Беззаботной — ее родители, учителя и родственники — любили ее больше всего, когда она соответствовала их идеалам. Угождая другим, Беззаботному не приходилось чувствовать боль от того, что он недостаточно хорош. Ее истинное «Я» чувствовало себя недостаточным, чтобы получить любовь и внимание от тех, кто был для нее самым важным. Чтобы гарантировать, что ей не придется чувствовать эту боль, она стала тем, в чем нуждались и чего ожидали другие, и взамен получила любовь и одобрение. Беззаботная решила, что, если ее нельзя будет принять и полюбить такой, какая она есть, она превратится в кого-то, кого другие не смогут не любить, не принимать и не одобрять.	We call both these types of parts “protectors.” Some protectors protect in a proactive way to keep us feeling secure and from feeling pain and vulnerability. These are called managers because their role is to manage our lives so as to protect us from pain. These parts make a vow to work relentlessly so we never experience the hurt we felt before they took on the job of protecting us. Carefree exiled her innate nature when she believed it was no longer valued. She searched around her to find what was of value and discovered that those closest to Carefree—her parents, teachers, and relatives—liked her most when she fit their ideal of her. By pleasing others, Carefree did not have to feel the pain of not being good enough. Her true self felt not enough to receive the love and attention from those most important to her. To ensure she didn’t have to feel that pain, she became what others needed and expected, and in return she received love and approval. Carefree decided that if she couldn’t be accepted and loved for who she was, she would contort herself into someone others couldn’t help but love, accept, and approve of.
Here are a few examples of how managers operate. Parts may have learned to protect by being high-achieving, depressed, or perfect. The high-achieving part may believe that the only way to have value is to out-achieve everyone else, and if the person receives praise for the strategies of this part, the part’s beliefs and behaviors are rewarded. A part that is depressed may remain in a state of hopelessness to protect the system from feeling something worse, like shame. Another way managers may protect us from feeling inadequate is by pursuing perfection. The perfectionistic part may believe that if it does everything perfectly, we will always feel good enough and we won’t have to experience the pain connected to feelings of worthlessness. The parts in these examples use these strategies as an attempt to protect us by managing and controlling the external environment, people, and situations to ensure that the parts of us who have been wounded are not hurt again.	Here are a few examples of how managers operate. Parts may have learned to protect by being high-achieving, depressed, or perfect. The high-achieving part may believe that the only way to have value is to out-achieve everyone else, and if the person receives praise for the strategies of this part, the part’s beliefs and behaviors are rewarded. A part that is depressed may remain in a state of hopelessness to protect the system from feeling something worse, like shame. Another way managers may protect us from feeling inadequate is by pursuing perfection. The perfectionistic part may believe that if it does everything perfectly, we will always feel good enough and we won’t have to experience the pain connected to feelings of worthlessness. The parts in these examples use these strategies as an attempt to protect us by managing and controlling the external environment, people, and situations to ensure that the parts of us who have been wounded are not hurt again.	Вот несколько примеров того, как работают менеджеры. Части, возможно, научились защищаться, будучи успешными, подавленными или совершенными. Достигающая часть может верить, что единственный способ добиться ценности — это превзойти всех остальных, и если человек получает похвалу за стратегии этой части, убеждения и поведение этой части вознаграждаются. Часть, находящаяся в депрессии, может оставаться в состоянии безнадежности, чтобы защитить систему от чувства чего-то худшего, например стыда. Еще один способ, которым менеджеры могут защитить нас от чувства неадекватности, — это стремление к совершенству. Перфекционистская часть может полагать, что если она сделает все идеально, мы всегда будем чувствовать себя достаточно хорошо и нам не придется испытывать боль, связанную с чувством никчемности. Части в этих примерах используют эти стратегии как попытку защитить нас, управляя и контролируя внешнюю среду, людей и ситуации, чтобы гарантировать, что те части нас, которые были ранены, не пострадают снова.	Here are a few examples of how managers operate. Parts may have learned to protect by being high-achieving, depressed, or perfect. The high-achieving part may believe that the only way to have value is to out-achieve everyone else, and if the person receives praise for the strategies of this part, the part’s beliefs and behaviors are rewarded. A part that is depressed may remain in a state of hopelessness to protect the system from feeling something worse, like shame. Another way managers may protect us from feeling inadequate is by pursuing perfection. The perfectionistic part may believe that if it does everything perfectly, we will always feel good enough and we won’t have to experience the pain connected to feelings of worthlessness. The parts in these examples use these strategies as an attempt to protect us by managing and controlling the external environment, people, and situations to ensure that the parts of us who have been wounded are not hurt again.
